agent_id,round,reward,termination,truncation,action_type,offer_to_opponent
agent_0,0,0.0,False,False,0,
agent_1,1,0.0,False,False,offer,
agent_0,1,-10.0,False,False,0,
agent_1,2,0.0,False,False,offer,
agent_0,2,-10.0,False,False,0,
agent_1,3,0.0,False,False,offer,
agent_0,3,-10.0,False,False,0,
agent_1,4,0.0,False,False,offer,
agent_0,4,-10.0,False,False,0,
agent_1,5,0.0,False,False,offer,
agent_0,5,-10.0,False,False,0,
agent_1,6,0.0,False,False,offer,
agent_0,6,-10.0,False,False,0,
agent_1,7,0.0,False,False,offer,
agent_0,7,-10.0,False,False,0,
agent_1,8,0.0,False,False,offer,
agent_0,8,-10.0,False,False,0,
agent_1,9,0.0,False,False,offer,
agent_0,9,-10.0,False,False,0,
agent_1,10,0.0,False,False,offer,
agent_0,10,-10.0,False,False,0,
agent_1,11,0.0,False,False,offer,
agent_0,11,-10.0,False,False,0,
agent_1,12,0.0,False,False,offer,
agent_0,12,-10.0,False,False,0,
agent_1,13,0.0,False,False,offer,
agent_0,13,-10.0,False,False,0,
agent_1,14,0.0,False,False,offer,
agent_0,14,-10.0,False,False,0,
agent_1,15,0.0,False,False,offer,
agent_0,15,-10.0,False,False,0,
agent_1,16,0.0,False,False,offer,
agent_0,16,-10.0,False,False,0,
agent_1,17,0.0,False,False,offer,
agent_0,17,-10.0,False,False,0,
agent_1,18,0.0,False,False,offer,
agent_0,18,-10.0,False,False,0,
agent_1,19,0.0,False,False,offer,
agent_0,19,-10.0,False,False,0,
agent_1,20,-1.0,False,True,,
agent_0,20,-1.0,False,True,,
